,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
8403,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"317,00 €",150 PS,110 kW,Benzin,157 g/km,"6,9 l/100 km"
8404,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"149,99 €",75 PS,55 kW,Benzin,106 g/km,"4,1 l/100 km"
8405,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"317,00 €",150 PS,110 kW,Benzin,163 g/km,"7,2 l/100 km"
8406,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"343,00 €",150 PS,110 kW,Diesel,129 g/km,"5,7 l/100 km"
8407,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"269,00 €",110 PS,81 kW,Benzin,144 g/km,"6,8 l/100 km"
8408,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"165,00 €",65 PS,48 kW,Benzin,0 g/km,"6,6 l/100 km"
8409,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",15 km,02/2023,24 Monate (anpassbar),"349,00 €",131 PS,96 kW,Benzin,,
8410,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"462,91 €",190 PS,140 kW,Benzin,140 g/km,"5,3 l/100 km"
8411,Nissan,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"379,00 €",158 PS,116 kW,Benzin,29 g/km,"1,5 l/100 km"
8412,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"858,00 €",344 PS,253 kW,Diesel,143 g/km,"6,3 l/100 km"
8413,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"356,00 €",150 PS,110 kW,Benzin,,
8414,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"207,00 €",170 PS,125 kW,Elektro,121 g/km,"5,4 l/100 km"
8415,Ford,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"219,00 €",125 PS,92 kW,Benzin,150 g/km,"6,6 l/100 km"
8416,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",6.852 km,07/2022,24 Monate (anpassbar),"307,13 €",131 PS,96 kW,Benzin,128 g/km,"4,9 l/100 km"
8417,DS Automobiles,5.000 km (anpassbar),"0,00 € (anpassbar)",13.990 km,01/2022,24 Monate (anpassbar),"379,00 €",181 PS,133 kW,Hybrid,128 g/km,"4,9 l/100 km"
8418,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",22.850 km,03/2022,36 Monate (anpassbar),"488,99 €",245 PS,180 kW,Diesel,141 g/km,"6,2 l/100 km"
8419,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"294,00 €",150 PS,110 kW,Benzin,125 g/km,"5,5 l/100 km"
8420,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",1.500 km,02/2023,60 Monate (anpassbar),"519,26 €",325 PS,239 kW,Elektro,146 g/km,"5,6 l/100 km"
8421,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"134,01 €",65 PS,48 kW,Benzin,131 g/km,"5,8 l/100 km"
8422,Hyundai,10.000 km (anpassbar),"0,00 € (anpassbar)",10 km,Neuwagen,48 Monate (anpassbar),"335,63 €",150 PS,110 kW,Benzin,132 g/km,"5,8 l/100 km"
